HA,AN,DI,FE,SA,SU
0.045700774,0.012285702,0.0076687397,0.012021199,0.009441114,0.0102520585
-0.015060126,-0.02501574,-0.0022392687,-0.07519052,-0.028022138,-0.08447698
0.0574465,-0.04551232,0.014611556,-0.118028805,0.007682333,0.011677787
0.0015711881,-0.035280682,-0.008957848,-0.028109815,-0.0069139684,0.03469765
-0.012292351,-0.0019268952,-0.01929151,0.030795597,0.061698854,0.03479788
-0.00053919235,-0.032348633,0.019030705,-0.05813078,-0.008580659,-0.06424208
-0.12453308,0.0056228666,0.062841795,0.033169564,0.036960874,0.08394825
0.036855265,0.0068378705,-0.09668513,-0.033362634,0.00102821,-0.05143469
-0.05047398,-0.01540751,-0.023799337,0.0033495165,-0.021967636,-0.06715388
-0.025567386,-0.028348194,0.02788199,-0.0215844,-0.008884114,0.047057327
0.041436013,0.01950646,-0.009399885,0.0024840916,0.008860251,-0.01773776
-0.029332308,-0.004981144,0.049518388,0.025459968,-0.006500008,0.036595043
0.05885531,0.07303593,-0.00081279734,-0.032974545,-0.01983605,-0.01754527
0.10575891,0.05222449,0.035345245,-0.008414313,0.018402385,-0.0078011425
0.012360666,0.11154204,0.078557804,-0.03672778,0.0014444995,-0.04248835
0.034723263,0.090403534,0.04642675,-0.011421951,-0.005992952,-0.009251698
-0.056606643,-0.13088109,0.015061569,0.028498571,0.0043035555,0.03321191
0.064595744,-0.0012773275,-0.019783884,0.011640074,-0.059577838,0.032488685
-0.06112473,-0.014093687,-0.04794742,-0.023527019,-0.020737503,-0.00052490743
0.006125193,0.028161282,-0.08231207,0.052733332,-0.015352205,0.037342884
0.030434867,0.021313472,0.013491594,0.04322769,0.020227227,0.04091146
0.014298213,-0.015274927,-0.057792187,-0.022426026,-0.032063723,-0.068682574
0.039708447,0.04659776,0.0022100552,0.021831322,-0.013707182,0.030574283
0.027092498,0.011437071,-0.004993935,0.023222089,0.036887303,0.02410079
-0.068300635,-0.100971475,0.054130852,0.023677964,0.048143487,0.008018969
-0.05137698,-0.011150213,0.033725757,-0.036998004,0.00438657,-0.0065591997
-0.027423559,-0.016010722,-0.02963308,0.0152376015,0.042844996,0.0046870885
0.05854144,-0.026115939,-0.09788983,-0.03859387,0.005089078,0.03433716
-0.02054267,-0.034833357,-0.026334668,-0.015721098,-0.03626902,-0.04278641
0.03785745,-0.030663494,-0.054486394,0.020215696,0.057797078,0.039038993
-0.038197383,0.021947375,-0.029752089,0.07293682,-0.08876305,0.046489064
0.059928097,-0.028556643,-0.012789433,0.08640568,0.0039166673,0.0062146536
-0.034211125,-0.026884293,0.037974983,-0.06204167,-0.015343025,0.0046402896
0.022353152,0.023778452,0.0021793284,0.0109226685,0.025117729,-0.014565273
0.005188161,0.0069177276,0.016566407,0.013235488,-0.05526261,-0.028175147
0.048940472,0.034538697,-0.029547244,-0.039948236,0.0014251405,0.061228383
0.014480727,0.023506982,-0.03295744,-0.05524807,0.06910328,-0.0019320241
0.0027516014,0.08446813,-0.014478225,0.052712575,0.06825914,-0.015935555
0.008740864,-0.039523195,-0.07070703,0.0566436,-0.07745195,-0.028423473
-0.007586072,-0.0044415817,-0.057407003,0.05569964,0.04720976,-0.041363865
-0.059544787,0.06275388,-0.0058142873,-0.030042257,-0.029627938,-0.00795152
-0.010170882,-0.011864124,-0.017726354,0.01907683,0.0016455691,-0.037007432
0.008760264,-0.00051973277,0.043350443,0.00057742465,-0.07238524,-0.010042664
-0.04536748,-0.027331106,0.07667193,0.0070635797,-0.02123151,0.0043414515
-0.07001261,0.030257905,0.0604179,0.04454561,0.015625551,0.01338321
0.0152995465,-0.048792552,-0.010454217,-0.05737911,0.06426156,-0.03365303
0.0008062492,0.074187845,0.0169671,-0.0019332222,-0.003387447,-0.025502864
0.07657236,-0.02324293,0.0150956595,-0.0028390926,-0.017501706,0.027637962
-0.041460007,-0.051576186,0.010374001,-0.0060102944,0.048045866,-0.00047055958
-0.018591298,-0.024094211,-0.00093627407,0.045316506,-0.024392748,-0.03416726
-0.041513976,-0.0332175,-0.00083458936,0.07578315,0.0898448,0.069889314
0.06829907,-0.005614452,-0.024258828,-0.016317958,0.050276916,-0.0359222
-0.05639304,-0.048703123,0.07277302,0.060039528,0.056292795,-0.045432888
-0.012312044,-0.0011394145,-0.00032892666,-0.040329825,0.003917068,-0.001858313
0.049170386,0.0032950386,-0.012679998,-0.0073563145,0.09246754,-0.0061645354
0.002641762,0.02367015,-0.013555387,-0.016414743,0.014647902,-0.06859978
-0.04465668,0.059799284,0.08859373,0.011350873,-0.013276419,0.011265307
0.07255174,0.013462267,0.015055025,-0.021011606,0.0076004313,-0.04223869
-0.00868676,-0.0606205,-0.018110512,0.042141154,-0.07763415,-0.007444949
-0.009635012,0.010200628,0.007025452,0.034043655,0.0103485575,-0.05581259
-0.0035547342,-0.036585573,0.04333754,0.043343697,-0.02082548,0.006751281
-0.023556067,0.00040379533,0.054207522,-0.08326873,-0.09131474,-0.048408158
0.04815038,0.008068859,0.01825033,-0.014013834,-0.006864424,-0.015052556
0.034007855,0.020154912,0.120450474,-0.07074372,0.020593315,0.032926973
0.043361083,0.020591868,0.026826866,-0.017953299,-0.03182465,0.014362996
0.07665261,0.002328941,0.022851149,0.018760365,0.04527415,-0.028056955
0.0033946335,-0.015049905,-5.2091207e-05,-0.05220583,0.052320488,-0.024928076
-0.022228736,0.06422709,-0.07863168,0.005435187,0.020945717,0.025763553
-0.018173277,-0.064335614,-0.036109485,-0.028860478,0.007335835,0.04127588
-0.085755885,0.0017438922,-0.00032438585,0.030546546,-0.0063044475,0.026727524
-0.046588235,0.0052272934,0.003919661,-0.0056313328,0.0082526915,-0.004769617
0.0422803,0.06236069,-0.052074563,0.07471856,-0.04171586,-0.00426094
-0.088044085,-0.0158061,-0.020655539,-0.0024498662,0.011158995,0.010859789
0.032535717,-0.0084312605,0.01501024,0.061209507,0.01768266,-0.0100014135
-0.019884573,-0.012706428,-0.028642891,-0.011238768,0.033435967,0.013725269
-0.005222117,-0.026423208,-0.015861172,0.0064347396,0.002532529,-0.02692651
-0.023252103,-0.0023902017,0.03290873,0.036587432,0.013035159,0.003100441
-0.022170875,-0.05527446,-0.04369252,-0.051090967,0.029519487,-0.03071184
0.03202399,-0.016952993,-0.0036218744,-0.046385646,0.063878365,0.019655813
-0.015378339,0.044751752,0.030262629,-0.05378352,-0.03042367,0.046292514
0.015564747,0.11423591,0.034389675,-0.01370964,0.03107613,-0.0015153936
-0.028324574,0.07156567,0.054642208,0.036299102,0.058361597,-0.039035913
-0.012107203,0.039303888,0.017737675,-0.0019669663,-0.012983728,-0.060565352
0.0430197,-0.04083587,-0.042615917,-0.10272016,0.032219127,0.0222029
-0.009498136,-0.05171146,-0.072304554,-0.05495955,0.0053346576,-0.09998034
-0.013826601,0.0044659697,-0.025344687,-0.02111299,0.01685032,-0.037569776
-0.06072655,-0.034057435,0.10249625,-0.007032819,0.028119667,-0.002723743
-0.06733923,-0.02926203,-0.005071462,0.016519262,0.038223457,-0.04120547
0.01634758,-0.00723693,0.029344194,0.00083721505,-0.009893457,-0.0017632792
-0.042816084,0.08491703,0.040181443,-0.054415703,-0.015479105,0.07134013
-0.03627873,0.008830291,-0.015489385,-0.02813643,-0.036016203,-0.041527282
-0.009796563,-0.024119258,0.023592582,-0.019135728,0.02350177,0.047807522
0.06893205,0.028173933,0.033176303,0.0003004505,-0.087768495,0.102098934
-0.13052829,-0.017015489,-0.031939413,-0.06922669,-0.053719606,-0.02246811
-0.03992746,0.010624002,0.06670955,-0.03878405,0.039096843,-0.032656405
-0.00046257515,-0.007867082,0.03135203,0.04369314,0.011244545,-0.022635879
0.007656898,-0.036168702,-0.011385088,-0.014776875,-0.0098857265,0.05946887
-0.0006215299,0.05465599,0.062258683,-0.013002564,-0.08717195,-0.032321893
0.12830785,0.04380137,0.060057465,-0.004101109,0.04805504,-0.06663583
-0.012305322,-0.027097844,0.12487079,-0.07322047,-0.02565189,0.011106454
0.009680809,-0.043191165,0.010134537,0.053763267,0.050778627,0.09993144
-0.04197459,-0.013629436,-0.10953122,-0.021772131,-0.0037944075,-0.008251893
-0.006685173,0.027586669,0.0120303,0.037763923,-0.031206883,-0.037316058
0.021184094,-0.004478884,-0.0549634,-0.035919227,0.02523716,0.041104566
0.007791073,0.046694826,0.04406111,-0.078392886,0.021943137,-0.05736596
0.0026598268,-0.049179476,-0.046345737,0.007549608,-0.0073569566,-0.010574791
0.019256433,0.056946907,-0.010743497,-0.047723643,-0.11612578,0.07777857
-0.008023671,-0.0748862,-0.009174676,-0.09066148,-0.08746331,0.0026572694
0.015295117,-0.014887161,0.08979995,0.05914533,-0.05837115,-0.0310053
0.051511526,0.071461275,0.08168448,-0.005845216,0.055029143,-0.0046608206
-0.05327076,-0.006450464,-0.05827777,-0.058930337,-0.01856817,-0.07845362
0.03290663,-0.02290513,0.100027196,0.08275262,-0.023926815,0.05836692
0.034983806,-0.0050705816,0.004667127,-0.025779167,0.02321426,-0.091231786
-0.049635813,0.15028988,-0.01545349,-0.0015699037,0.011862398,0.024686074
0.06732223,-0.015109176,-0.0039583137,0.017465329,-0.0258962,0.09418931
-0.035484396,0.06588816,0.008836395,-0.097270206,0.05384272,0.003061768
-0.051642597,-0.022473106,0.019291446,0.0048169293,-0.006859719,0.014286762
-0.014990003,0.042128347,-0.0029921152,-0.027041547,0.01884222,-0.010196238
-0.11138759,-0.09509152,-0.09878676,-0.09914955,-0.039197937,-0.040102907
-0.019754736,-0.017426832,-0.08165817,0.009863514,-0.0050745625,0.04428781
0.03173291,0.036252074,0.01082654,0.031454396,0.034674693,0.018388553
0.013459718,0.078211635,0.039491266,0.01642881,0.034884956,-0.07014234
-0.041054275,-0.020393755,-0.07373587,0.029413259,0.026195101,-0.032994565
0.020777114,0.008085365,0.1010118,0.039580494,-0.016776161,-0.04024694
-0.03193391,0.021272073,0.008948847,0.008013,0.042117156,0.026770292
